accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/Elevator Action (Prototype).png	emu/MEDIA/ATARI2600/Elevator Action (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Elf Adventure (Prototype).png	emu/MEDIA/ATARI2600/Elf Adventure (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Eli's Ladder (NA).png	emu/MEDIA/ATARI2600/Eli's Ladder (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Elk Attack (Prototype).png	emu/MEDIA/ATARI2600/Elk Attack (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Encounter at L-5 (NA).png	emu/MEDIA/ATARI2600/Encounter at L-5 (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Enduro (NA).png	emu/MEDIA/ATARI2600/Enduro (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Entombed (NA).png	emu/MEDIA/ATARI2600/Entombed (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Escape from the Mindmaster (NA).png	emu/MEDIA/ATARI2600/Escape from the Mindmaster (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Espial (NA).png	emu/MEDIA/ATARI2600/Espial (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Exocet (EU).png	emu/MEDIA/ATARI2600/Exocet (EU).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Extra Terrestrials (NA).png	emu/MEDIA/ATARI2600/Extra Terrestrials (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fantastic Voyage (NA).png	emu/MEDIA/ATARI2600/Fantastic Voyage (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Farmyard Fun (NA).png	emu/MEDIA/ATARI2600/Farmyard Fun (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fast Eddie (NA).png	emu/MEDIA/ATARI2600/Fast Eddie (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fast Food (NA).png	emu/MEDIA/ATARI2600/Fast Food (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fatal Run (NA).png	emu/MEDIA/ATARI2600/Fatal Run (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fathom (NA).png	emu/MEDIA/ATARI2600/Fathom (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Final Approach (NA).png	emu/MEDIA/ATARI2600/Final Approach (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fire Fighter (NA).png	emu/MEDIA/ATARI2600/Fire Fighter (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fire Fly (NA).png	emu/MEDIA/ATARI2600/Fire Fly (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fireball (NA).png	emu/MEDIA/ATARI2600/Fireball (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Fishing Derby (NA).png	emu/MEDIA/ATARI2600/Fishing Derby (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Flag Capture (NA).png	emu/MEDIA/ATARI2600/Flag Capture (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Flash Gordon (NA).png	emu/MEDIA/ATARI2600/Flash Gordon (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Football (NA).png	emu/MEDIA/ATARI2600/Football (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Forest (EU).png	emu/MEDIA/ATARI2600/Forest (EU).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Frankenstein's Monster (NA).png	emu/MEDIA/ATARI2600/Frankenstein's Monster (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Freeway (NA).png	emu/MEDIA/ATARI2600/Freeway (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Frisco (NA).png	emu/MEDIA/ATARI2600/Frisco (NA).png	carátula a MEDIA
